Final result: 
"	9_7_5_0_1_10_4_6_8_11_2_12_3"

All solutions:
0_2_4_1_8_11_9_12_3_5_7_10_6
0_2_4_6_8_10_12_1_3_5_7_9_11
0_2_4_6_11_9_12_5_3_1_7_10_8
0_2_4_8_12_9_3_6_11_1_5_7_10
0_2_4_9_1_8_11_3_12_7_5_10_6
0_2_4_9_7_10_3_1_12_5_8_6_11
0_2_4_9_7_12_3_11_6_1_5_10_8
0_2_4_9_12_8_3_11_7_5_1_6_10
0_2_4_10_8_11_3_1_6_12_9_7_5
0_2_4_10_8_11_3_12_7_5_1_9_6
0_2_4_10_8_11_5_3_1_12_7_9_6
0_2_4_11_8_10_5_3_1_12_7_9_6
0_2_4_11_8_12_9_3_5_7_1_10_6
0_2_4_12_8_11_5_10_6_1_3_7_9
0_2_4_12_10_8_5_11_1_3_6_9_7
0_2_5_7_9_4_12_1_3_11_6_8_10
0_2_5_8_6_11_3_1_12_4_9_7_10
0_2_5_8_10_1_4_11_7_3_12_6_9
0_2_5_9_11_1_8_4_12_7_3_10_6
0_2_5_9_11_3_8_4_12_1_6_10_7
0_2_5_9_11_3_8_12_1_4_7_10_6
0_2_5_10_12_7_3_11_6_1_9_4_8
0_2_5_10_12_7_4_11_1_6_9_3_8
0_2_5_11_6_10_12_1_4_8_3_9_7
0_2_5_11_9_3_10_4_7_1_12_6_8
0_2_5_11_9_7_3_1_12_8_6_4_10
0_2_5_11_9_7_12_1_3_8_6_4_10
0_2_5_12_6_9_11_4_1_3_8_10_7
0_2_5_12_8_11_3_6_10_1_4_9_7
0_2_6_8_10_12_4_9_1_3_5_7_11
0_2_6_8_10_12_4_9_11_3_5_7_1
0_2_6_8_11_7_12_3_1_4_9_5_10
0_2_6_8_12_1_9_5_10_4_7_3_11
0_2_6_9_3_12_8_4_11_1_5_7_10
0_2_6_9_7_12_1_3_5_11_8_10_4
0_2_6_9_11_4_1_10_5_7_12_3_8
0_2_6_9_11_4_8_12_3_1_7_5_10
0_2_6_10_1_7_12_3_11_8_5_9_4
0_2_6_10_7_11_4_12_1_8_5_3_9
0_2_6_11_7_1_3_12_10_8_5_9_4
0_2_6_11_7_1_4_12_10_8_3_5_9
0_2_6_11_7_10_1_3_5_8_12_9_4
0_2_6_11_7_12_3_5_10_1_9_4_8
0_2_6_11_7_12_4_9_1_3_5_10_8
0_2_6_12_10_7_11_3_1_4_8_5_9
0_2_7_1_6_9_12_4_11_3_5_10_8
0_2_7_1_12_9_5_10_4_11_3_8_6
0_2_7_5_8_1_12_10_3_6_4_9_11
0_2_7_5_10_1_9_4_12_3_8_6_11
0_2_7_5_10_12_1_6_11_3_8_4_9
0_2_7_5_10_12_4_11_3_6_9_1_8
0_2_7_5_12_8_1_11_4_6_9_3_10
0_2_7_9_3_12_8_11_5_1_6_4_10
